  year       sum      har    sep     win     age
  1981          17     111      18     535      11
  1982        17.4     162    18.5     712      10
  1983        17.4     119    17.9     845       9
  1984        16.5     119      16     591       8
  1985        16.8      38    18.9     744       7
  1986        16.3     171    17.5     563       6
  1987        17       115    18.9     452       5
  1988        17.1      59    16.8     808       4
  1989        18.6      82    18.4     443       3
  1990        18.7      80    19.3     468       2
  1991        17.7     183    20.4     570       1
